index,tweet,sentimen
0,"['menangani', 'kekerasan', 'seksual', 'disahkan', 'enam', 'dibahas', 'dewan', 'perwakilan', 'rakyat', 'mengesahkan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'selasa', 'april']",Positif
1,"['menangani', 'kekerasan', 'seksual', 'disahkan', 'enam', 'dibahas', 'dewan', 'perwakilan', 'rakyat', 'mengesahkan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'selasa', 'april']",Positif
2,"['wakil', 'mpr', 'ri', 'mahasiswa', 'kawal', 'implementasi']",Negatif
3,"['fadel', 'muhammad', 'mahasiswa', 'kawal', 'implementasi']",Negatif
4,"['tanggal', 'chatnya', 'april', 'dijerat']",Negatif
5,"['kelakuan', 'gini', 'ranah']",Netral
6,"['membuka', 'sistem', 'peradilan', 'diharapkan', 'implementasinya', 'ks', 'diselesaikan', 'adil', 'korban', 'pelaku']",Negatif
7,"['mochammad', 'abizar', 'yusro', 'terang', 'sinar', 'perlindungan', 'kartini']",Negatif
8,"['pengesahan', 'undang', 'undang', 'bentuk', 'hadiah', 'perempuan', 'indonesia', 'menjelang', 'kartini']",Positif
9,"['ri', 'penghargaan', 'elemen', 'perempuan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
10,"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
11,"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc']",Positif
12,"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
13,"['implementasi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual', 'perlindungan', 'perempuan', 'anak', 'indonesia']",Negatif
14,"['dinilai', 'berperan', 'pengesahan', 'sobat']",Positif
15,"['memiliki', 'sensitivitas', 'kepedulian', 'perempuan', 'tergambar', 'menitikkan', 'air', 'mengesahkan']",Positif
16,"['berkoordinasi', 'pemerintah', 'presiden', 'joko', 'widodo', 'jokowi']",Positif
17,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
18,"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
19,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
20,"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
21,"['seiring', 'berlakunya', 'pemangku', 'kepentingan', 'masukan', 'konstruktif', 'kesempurnaan', 'aturan', 'hukum']",Positif
22,"['kemarin', 'disahkan', 'terbaik', 'lakukan', 'masyarakat', 'kaum', 'perempuan', 'mendambakan', 'payung', 'hukum', 'dekade', 'silam']",Positif
23,"['keberhasilan', 'realisasi', 'luput', 'berkat', 'dukungan', 'elemen', 'masyarakat']",Negatif
24,"['pengesahan', 'tanda', 'peradaban', 'indonesia', 'mencegah', 'bentuk', 'kekerasan', 'seksual', 'darurat']",Positif
25,"['sikap', 'dinilai', 'konsisten', 'serius', 'memperjuangkan']",Netral
26,"['netizen', 'mengapresiasi', 'sikap', 'dinilai', 'serius', 'memperjuangkan', 'disahkan', 'undang', 'undang']",Positif
27,"['masyarakat', 'mengawal', 'implementasi']",Netral
28,"['mengajak', 'masyarakat', 'berdoa', 'ucapan', 'syukur', 'hasil', 'perjuangan', 'pengesahan']",Positif
29,"['aturanaturan', 'turunannya', 'pedoman', 'aparat', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Negatif
30,"['berpesan', 'diterjemahkan', 'aturanaturan', 'pelaksanaan', 'teknis']",Negatif
31,"['terima', 'kasih', 'pemerintah', 'samanya', 'penyusunan']",Positif
32,"['mengapresiasi', 'membantu', 'mewujudkan', 'pengesahan', 'tindak', 'pidana', 'kekerasan', 'seksual']",Positif
33,"['manusia', 'kesalahan', 'manusia', 'memiliki', 'kesempatan', 'perkara', 'selesai', 'sah', 'adik', 'terlepas', 'lelaki']",Negatif
34,"['haru', 'lega', 'rasakan', 'beleid', 'disahkan', 'pengesahan', 'hadiah', 'perempuan', 'indonesia', 'jelang', 'peringatan', 'kartini']",Positif
35,"['perwakilan', 'pejuang', 'berterima', 'kasih', 'merealisasikan', 'komitmennya']",Positif
36,"['dinilai', 'berperan', 'pengesahan', 'sobat']",Positif
37,"['memiliki', 'sensitivitas', 'kepedulian', 'perempuan', 'tergambar', 'menitikkan', 'air', 'mengesahkan']",Positif
38,"['berkoordinasi', 'pemerintah', 'presiden', 'joko', 'widodo', 'jokowi']",Positif
39,['dipidana'],Netral
40,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
41,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
42,"['hasil', 'komitmen', 'indonesia', 'kekerasan', 'seksual']",Positif
43,"['kemarin', 'disahkan', 'terbaik', 'lakukan', 'masyarakat', 'kaum', 'perempuan', 'mendambakan', 'payung', 'hukum', 'dekade', 'silam']",Positif
44,"['diterapkan', 'keras', 'pemrentah', 'ri', 'setuju']",Positif
45,"['legacy', 'endless', 'discussion', 'legend', 'kupas', 'tuntas', 'pengaturan', 'hukum', 'acara', 'pasca', 'disahkan', 'ahad', 'april']",Positif
46,"['keberhasilan', 'realisasi', 'luput', 'berkat', 'dukungan', 'elemen', 'masyarakat']",Negatif
47,"['pengesahan', 'tanda', 'peradaban', 'indonesia', 'mencegah', 'bentuk', 'kekerasan', 'seksual', 'darurat']",Positif
48,"['sikap', 'dinilai', 'konsisten', 'serius', 'memperjuangkan']",Netral
49,"['netizen', 'mengapresiasi', 'sikap', 'dinilai', 'serius', 'memperjuangkan', 'disahkan', 'undang', 'undang']",Positif
50,"['masyarakat', 'mengawal', 'implementasi']",Netral
51,"['mengajak', 'masyarakat', 'berdoa', 'ucapan', 'syukur', 'hasil', 'perjuangan', 'pengesahan']",Positif
52,"['aturanaturan', 'turunannya', 'pedoman', 'aparat', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Negatif
53,"['berpesan', 'diterjemahkan', 'aturanaturan', 'pelaksanaan', 'teknis']",Negatif
54,"['dinilai', 'penuhi', 'harapan', 'kaum', 'perempuan']",Netral
55,"['berhasil', 'disahkan', 'kesamaan', 'komitmen', 'pemerintah', 'penanggulangan', 'kekerasan', 'seksual']",Positif
56,"['andibahtiar', 'kedudukan', 'baca', 'baikbaik', 'terima', 'terima', 'berlaku', 'hukumnya', 'dipake', 'salama', 'melanggar', 'ham', 'kaya', 'link', 'emang', 'sulit', 'banget', 'mempidana', 'pelaku', 'marital', 'rape']",Positif
57,"['trend', 'baliho', 'mentok', 'awareness', 'nihh', 'wkwkwkwk', 'well', 'maybe', 'ngetok', 'palu', 'pas', 'help', 'well']",Negatif
58,"['tujuan', 'pengesahan']",Positif
59,"['podcast', 'bicara', 'politik', 'ksbo', 'disolusi']",Negatif
60,"['sah', 'tunggu', 'perbaikan', 'kuhp', 'melegitimasi', 'paradigma', 'liberal', 'serbaserbi', 'mmc']",Positif
61,"['mengungkap', 'berhasil', 'mengesahkan', 'digagas', 'dekade']",Positif
62,"['terima', 'kasih', 'kepemimpinannya', 'mendorong', 'disahkannya']",Positif
63,"['evita', 'pujiannya', 'dedikasinya', 'kerasnya', 'mendukung', 'pembahasan', 'pengesahan']",Positif
64,"['menko', 'pmk', 'salah', 'tokoh', 'memperjuangkan', 'disahkan']",Positif
65,"['implementasi', 'menghadapi', 'menyelesaikan', 'kasus', 'kasus', 'kekerasan', 'seksual']",Netral
66,"['terima', 'kasih', 'pemerintah', 'samanya', 'penyusunan']",Positif
67,"['korban', 'kekerasan', 'seksual', 'kaum', 'perempuan', 'kalangan', 'lakilaki', 'memperjuangkan', 'berpartisipasipuan']",Positif
